S. No.,State/UT,"(As on 31st March, 2019) - Required1 - (R)","(As on 31st March, 2019) - Sanctioned - (S)","(As on 31st March, 2019) - In Position - (P)","(As on 31st March, 2019) - Vacant - (S-P)","(As on 31st March, 2019) - Shortfall - (R-P)"
1,Andhra Pradesh,140,46,36,10,104
2,Arunachal Pradesh,63,NA,0,NA,63
3,Assam,177,NA,6,NA,171
4,Bihar,150,NA,8,NA,142
5,Chhattisgarh,170,167,10,157,160
6,Goa,5,1,1,0,4
7,Gujarat,362,62,9,53,353
8,Haryana,115,15,1,14,114
9,Himachal Pradesh,87,NA,2,NA,85
10,Jammu & Kashmir,84,107,72,35,12
11,Jharkhand,171,171,2,169,169
12,Karnataka,198,198,101,97,97
13,Kerala,227,2,2,0,225
14,Madhya Pradesh,309,309,25,284,284
15,Maharashtra,364,153,45,108,319
16,Manipur,23,1,1,0,22
17,Meghalaya,28,NA,2,NA,26
18,Mizoram,9,NA,0,NA,9
19,Nagaland,21,NA,3,NA,18
20,Odisha,377,382,34,348,343
21,Punjab,89,112,17,95,72
22,Rajasthan,571,422,134,288,437
23,Sikkim,2,NA,0,NA,2
24,Tamil Nadu,385,NA,27,NA,358
25,Telangana,85,79,30,49,55
26,Tripura,18,NA,0,NA,18
27,Uttarakhand,67,72,12,60,55
28,Uttar Pradesh,679,523,103,420,576
29,West Bengal,348,0,0,0,348
30,A& N Islands,4,3,0,3,4
31,Chandigarh,0,0,0,0,0
32,D & N Haveli,2,0,0,0,2
33,Daman & Diu,0,0,0,0,0
34,Delhi,0,0,0,0,0
35,Lakshadweep,3,0,0,0,3
36,Puducherry,2,0,0,0,2
All India/Total,All India/Total,5335,2825,683,2190,4652
